,GPE,LOCATION,ORGANIZATION,PERSON
0,"['Op', 'Schiedam']",,,['Laan']
1,['Een'],,['RTV'],"['Hofplein', 'Schiekade', 'Hofplein']"
2,"['Deel', 'Schiedam']",,,['Laan']
3,"['Haag', 'Op']",,,['Den']
4,"['Haag', 'Op']",,,['Den']
5,"['Herentals', 'Op', 'Herentals']",,,['Albertkanaal']
6,"['Donderdag', 'China']",['South'],,
7,['Een'],,,
8,,,['UPDATE'],"['Een', 'Zevenmanshaven']"
9,,,['UPDATE'],"['Een', 'Zevenmanshaven']"
10,,,['UPDATE'],"['Een', 'Zevenmanshaven']"
11,['Een'],,['EINDHOVEN'],"['John', 'Onze']"
12,['Een'],,['EINDHOVEN'],"['John', 'Onze']"
13,['De'],,,
14,['Een'],,['VELDHOVEN'],
15,"['Binnen', 'Amerikalaan']",,,['Weteringpad']
16,,,['Een'],"['Hilversum', 'Caspar']"
17,['Een'],,['STEENBERGEN'],
18,['Een'],,['STEENBERGEN'],
19,['Een'],,['Natriumweg'],['Isselt']
20,['Een'],,,['Utrechtsestraatweg']
21,['Een'],,,['Utrechtsestraatweg']
22,['Een'],,['STEENBERGEN'],
23,['Een'],,['STEENBERGEN'],
24,['Een'],,['STEENBERGEN'],
25,['Den'],,['Een'],"['Video', 'Den']"
26,['BREDA'],,,['Een']
27,['Op'],,"['GRAVENMOER', 'Gravenmoer']",
28,['BREDA'],,,['Een']
29,['ROSSUM'],,,"['Een', 'Van']"
30,['ROSSUM'],,,"['Een', 'Van']"
31,['ROSSUM'],,,"['Een', 'Van']"
32,['ROSSUM'],,['N322'],"['Jonghweg', 'Van']"
33,,,['Westerlo'],"['Voetbalclub', 'Kemphanen', 'Moeskroen']"
34,"['Deel', 'Eindhoven']",,['EINDHOVEN'],"['Maandagochtend', 'Sterrenlaan']"
35,"['Deel', 'Eindhoven']",,['EINDHOVEN'],['Sterrenlaan']
36,['Een'],,,['Alphen']
37,['Bij'],,,"['Pieter', 'Pieter']"
38,['Een'],,,
39,['Deel'],,,
40,['Bij'],,,"['Pieter', 'Pieter']"
41,"['Deel', 'Den']",,,
42,['De'],,"['Harm', 'Nassaukade']","['Het', 'Harm', 'Roz']"
43,"['Deel', 'Den', 'Vosse']",,,['Den']
44,"['Een', 'Den']",,,"['De', 'Staverdenstraat', 'Den']"
45,['Een'],,,['Nijverheidsweg']
46,"['Deel', 'Op', 'Den']",,"['DEN', 'HAAG']","['De', 'Omroep']"
47,,,['Public'],['Alba']
48,"['Deel', 'Den']",,,
49,['Een'],,['WAALWIJK'],"['Asserweg', 'Halve']"
50,['Een'],,['WAALWIJK'],"['Asserweg', 'Halve']"
51,"['Bij', 'Eekhoornlaan', 'Son', 'BINNENLAND']",,,"['Son', 'Omroep']"
52,"['Deel', 'Bij', 'Eekhoornlaan', 'Son']",,['SON'],['Rebecca']
53,"['Deel', 'Bij', 'Eekhoornlaan', 'Son']",,['SON'],['Rebecca']
54,"['Deel', 'Bij', 'Eekhoornlaan', 'Son']",,['SON'],['Rebecca']
55,"['Deel', 'Bij', 'Eekhoornlaan', 'Son']",,['SON'],['Rebecca']
56,"['WOERDEN/WOERDEN', 'Op', 'Woerden']",,,['Groen']
57,"['Een', 'Leiden']",,,['Groote']
58,"['UTRECHT', 'De']",,,"['Iris', 'Utrecht']"
59,"['RUCPHEN', 'Bij', 'Rucphen', 'Sprundelseweg']",,,
60,,,,"['Het', 'Herenthout']"
61,"['Drie', 'Lake', 'Wisconsin']",,['Ford'],
62,"['Drie', 'Lake', 'Wisconsin']",,['Ford'],
63,"['LEENDE', 'Twee', 'Leende']",,,
64,['Herenthout'],,,"['Het', 'Herenthout']"
65,['Herenthout'],,,"['Het', 'Herenthout']"
66,"['Op', 'Wageningen']",,['WAGENINGEN'],"['Rooseveltweg', 'Van']"
67,,,,"['Laatste', 'Videos']"
68,,,,"['Laatste', 'Videos']"
69,"['Deel', 'Almelo', 'Chiel']",,,
70,"['Deel', 'Almelo', 'Chiel']",,,
71,['Een'],,"['UPDATE', 'BREDA']",
72,"['BREDA', 'Een']",,,
73,"['De', 'Eindhoven', 'Eindhoven']",,,['Nuenen']
74,['Een'],,,['Haarlems']
75,"['Deel', 'Een']",,['EINDHOVEN'],['Bart']
76,"['Deel', 'Een']",,['EINDHOVEN'],"['Eindhoven', 'Bart']"
77,['BREDA'],,,['Wilhelminapark']
78,"['Op', 'Alphen']",,,['Alphen']
79,"['Op', 'Vinkeveen']",,,
80,"['Bij', 'Vinkeveen']",,['VINKEVEEN'],
81,['Een'],,,"['Van', 'Den']"
82,['Een'],,,"['Van', 'Den']"
83,,,,"['Zeeuwse', 'Zeeuwse']"
84,"['Twee', 'Goes']",,,
85,"['Twee', 'Goes']",,,['Kloetinge']
86,"['Twee', 'Goes']",,['GOES'],"['Van', 'Kloetinge']"
87,"['Twee', 'Goes']",,['GOES'],"['Van', 'Kloetinge']"
88,['Twee'],,,['Burgemeester']
89,['Foto'],,,"['Romke', 'Marum']"
90,"['Een', 'Vlaardingen']",,,"['Van', 'Heuvelsingel']"
91,"['Deel', 'Een', 'Eindhoven']",,['EINDHOVEN'],['Sandra']
92,"['Deel', 'Twee']",,['TILBURG'],"['Baron', 'Voorst', 'Rebecca']"
93,"['Deel', 'Twee']",,['TILBURG'],"['Baron', 'Voorst', 'Rebecca']"
94,['Goes'],,['GOES'],"['Een', 'Macedonië', 'Van', 'Kloetinge']"
95,['Goes'],,['GOES'],"['Een', 'Macedonië', 'Van', 'Kloetinge']"
96,"['Twee', 'Goes']",,['GOES'],"['Van', 'Kloetinge']"
97,"['Deel', 'Amsterdamlaan']",,,
98,"['Een', 'Blekersweg']",,['Blekersweg'],"['Willem', 'Prins']"
99,['Een'],,['DOESBURG'],
100,['Een'],,['DOESBURG'],
101,"['Op', 'Nijmegen']",,['NIJMEGEN'],
102,['LENGTH'],,,
103,['LENGTH'],,,
104,"['De', 'Rotterdam']",,['ROTTERDAM'],
105,['HENGELO'],,,
106,"['ROTTERDAM', 'De', 'Rotterdam']",,['ANP'],
107,"['De', 'Rotterdam']",,,
108,['RUCPHEN'],,['Roosendaal'],"['Een', 'Raadhuisstraat', 'Achterhoeksestraat']"
109,"['Bij', 'Baarn']",,,
110,"['Almeerse', 'Oosterwold']",,['ALMERE'],"['Door', 'Petra', 'Rola', 'Randstad', 'Rola', 'Almee']"
111,,,,"['Het', 'Openbaar', 'Nieuwe', 'Breda']"
112,,,,"['Het', 'Openbaar', 'Nieuwe', 'Breda']"
113,,,['COLUMN'],"['Talitha', 'Marc']"
114,"['Almeerse', 'Oosterwold']",,['ALMERE'],"['Door', 'Petra', 'Rola', 'Randstad', 'Rola', 'Almee']"
115,['Mijn'],,,"['Talitha', 'Marc']"
116,,,,
117,,,,
118,,,,
119,,,,
120,"['GRIJPSKERKE', 'Op', 'Grijpskerke']",,,
121,['LENGTH'],,,
122,"['Een', 'Indiaanse']",,,"['Amritsar', 'Het']"
123,"['Bij', 'Grijpskerke']",,['PZC'],['Mariekerkseweg']
124,,,['UPDATE'],"['Hotel', 'Leroy', 'Brede']"
125,"['De', 'Rotterdam']",,,"['Leroy', 'Brede', 'Hotel']"
126,"['Almeerse', 'Oosterwold']",,['ALMERE'],"['Door', 'Petra', 'Rola', 'Randstad', 'Rola', 'Almee']"
127,"['Almeerse', 'Oosterwold']",,['ALMERE'],"['Door', 'Petra', 'Rola', 'Randstad', 'Rola', 'Almee']"
128,"['Almeerse', 'Oosterwold']",,['ALMERE'],"['Door', 'Petra', 'Rola', 'Randstad', 'Rola', 'Almee']"
129,"['Almeerse', 'Oosterwold']",,['ALMERE'],"['Door', 'Petra', 'Rola', 'Randstad', 'Rola', 'Almee']"
130,"['Almeerse', 'Oosterwold']",,['ALMERE'],"['Door', 'Petra', 'Rola', 'Randstad', 'Rola', 'Almee']"
131,['Een'],,,['Brede']
132,"['Bij', 'Loenen']",,,['Vecht']
133,"['Een', 'Rotterdam', 'BINNENLAND']",,['ROTTERDAM'],['Brede']
134,"['Een', 'Rotterdam']",,,['Brede']
135,"['Een', 'Eindhoven']",,['EINDHOVEN'],['Leenderweg']
136,"['Deel', 'Een', 'Eindhoven']",,['EINDHOVEN'],"['Leostraat', 'Hans']"
137,['Lange'],,['OSS'],['Ineke']
138,['Lange'],,['OSS'],['Ineke']
139,"['Een', 'Duitslandlaan']",,,
140,['Deel'],,,"['Wijhe', 'N337']"
141,['Een'],,,['Marnixstraat']
142,['Bij'],,['Vlissingen'],
143,['Een'],,,['Marnixstraat']
144,"['Op', 'Mijdrecht']",,,
145,['Een'],,,
146,['Een'],,['MIJDRECHT'],"['Rondweg', 'Rondweg']"
147,"['Op', 'Hengelo']",,['HENGELO'],
148,"['HENGELO', 'Op', 'Hengelo']",,,
149,['Een'],,['SOMEREN'],
150,"['Op', 'Haaksbergen']",,['HAAKSBERGEN'],
151,['Deel'],,['RUCPHEN'],"['Een', 'Rucphen', 'Robert', 'Veele', 'Raadhuisstraat']"
152,['Deel'],,,
153,['De'],,,"['Jacqueline', 'Mastenbroek', 'Jac']"
154,['LENGTH'],,,
155,,,,"['Kleiwegplein', 'Hoog']"
156,"['BREDA', 'Op', 'Breda']",,,['Emerparklaan']
157,"['Op', 'Eindhoven']",,"['EINDHOVEN', 'Sint', 'Sint']",
158,"['Op', 'Eindhoven']",,"['EINDHOVEN', 'Sint', 'Sint']",
159,"['Op', 'Eindhoven']",,"['EINDHOVEN', 'Sint']",
160,"['Op', 'Eindhoven']",,"['EINDHOVEN', 'Sint']",
161,"['CUIJK', 'Een', 'Cuijk']",,,['Beversestraat']
162,"['CUIJK', 'Een', 'Cuijk']",,,['Beversestraat']
163,['Udenhout'],,['UDENHOUT'],
164,['Udenhout'],,['UDENHOUT'],
165,"['Op', 'Dongen']",,['DONGEN'],
166,"['Op', 'Dongen']",,['DONGEN'],
167,"['Erp', 'Een']",,,"['Brabantse', 'Omroep']"
168,"['Erp', 'Een']",,,"['Brabantse', 'Omroep']"
169,"['Erp', 'Een']",,,"['Brabantse', 'Omroep']"
170,['Een'],,,['Hotel']
171,"['Op', 'Erp']",,['BOERDONK'],
172,"['Op', 'Erp']",,['BOERDONK'],
173,"['Op', 'Boerdonk']",,['BOERDONK'],
174,"['Deel', 'Belg']",,"['Belgische', 'Kampenaar']","['Kampen', 'Woerden']"
175,['De'],,"['NIJMEGEN', 'AKKUraatd']","['Sander', 'Goes']"
176,,,,"['Ter', 'Leidsch']"
177,,,['NIJMEGEN'],"['De', 'Nijmeegse']"
178,,,['NIJMEGEN'],"['De', 'Nijmeegse']"
179,"['Een', 'Barneveld']",,,
180,"['VESSEM', 'Een', 'Tilburg']",,,['Hogeloonsedijk']
181,"['VESSEM', 'Een', 'Tilburg']",,,['Hogeloonsedijk']
182,"['Op', 'Tilburg']",,,
183,['De'],,,"['Beresteinlaan', 'Melis']"
184,"['Een', 'Purmerend']",,['Verkeers'],
185,['Nederland'],,['OssLees'],
186,['Nederland'],,['OssLees'],
187,['Nederland'],,['OssLees'],
188,['Het'],,,"['Bergweg', 'Judith']"
189,,,,"['Bergweg', 'Judith']"
190,"['Oss', 'Stint']",,,"['Hulpdiensten', 'Van']"
191,"['Bij', 'Oss', 'Nederland']",,,
192,"['Het', 'Oss', 'Oss']",,"['OSS', 'Brabant']",['Facebook']
193,"['Het', 'Oss', 'Oss']",,"['OSS', 'Brabant']",['Facebook']
194,"['Het', 'Oss', 'Oss']",,"['OSS', 'Brabant']","['Braakstraat', 'Facebook']"
195,['Oss'],,,"['Persconferentie', 'Oss']"
196,['Oss'],,,"['Persconferentie', 'Oss']"
197,['De'],,,['Veluwse']
198,['Leerdam'],,['UPDATE'],"['De', 'Leerdam']"
199,"['De', 'Middelvaart', 'Woudrichem', 'Middelvaart']",,,
